,resnet_prob,ridnet_pca_128_prob,ridnet_pca_128_face_prob,ridnet_pca_256_prob,ridnet_pca_256_face_prob
resnet_prob,1.0,0.5075657369221306,0.49873209131966695,0.4316228277538166,0.43541086328783885
ridnet_pca_128_prob,0.5075657369221306,1.0,0.8301050764890403,0.6750266065221466,0.68178703504278
ridnet_pca_128_face_prob,0.49873209131966695,0.8301050764890403,1.0,0.6868076127788945,0.6986793614816806
ridnet_pca_256_prob,0.4316228277538166,0.6750266065221466,0.6868076127788945,1.0,0.7383514972558183
ridnet_pca_256_face_prob,0.43541086328783885,0.68178703504278,0.6986793614816806,0.7383514972558183,1.0
