mean_cos_sim_real_to_source,mean_cos_sim_fake_to_source,std_cos_sim_real_to_source,std_cos_sim_fake_to_source,intra_real_cohesion,intra_fake_cohesion,inter_group_separation,silhouette_score,centroid_cosine_distance,real_spread,fake_spread,cohens_d,video_id,timestamp_idx,num_fake_expected,num_real_expected,avg_label_expected
0.9705392122268677,0.5885373950004578,0.045900166034698486,0.011178921908140182,0.9435842633247375,0.994339108467102,0.586127758026123,0.8520809412002563,0.39665937423706055,1.9117798805236816,0.5248363018035889,176.8904570021787,gqpErbFnbiY/00017,8,15,5,0.75
0.9936684370040894,0.6405075192451477,0.003165769623592496,0.08953036367893219,0.9968341588973999,0.7541216611862183,0.6579750180244446,0.41812047362327576,0.23870396614074707,0.4691436290740967,4.256895542144775,69.01081148904254,gqpErbFnbiY/00015,13,15,5,0.75
0.7273593544960022,0.4841664731502533,0.214995875954628,0.006736564915627241,0.7403777837753296,0.9979573488235474,0.6533434987068176,0.46487587690353394,0.23324990272521973,3.892441987991333,0.3667517602443695,77.85715849600044,gqpErbFnbiY/00015,14,15,5,0.75
0.9897392392158508,0.5253089666366577,0.018553417176008224,0.08834963291883469,0.9797500371932983,0.6999061107635498,0.5225076079368591,0.5436415672302246,0.3499826192855835,1.296689748764038,4.874795436859131,85.8343023143615,gqpErbFnbiY/00017,7,15,5,0.75
0.541659951210022,,0.23437228798866272,,0.7651718854904175,,,,,3.5507514476776123,,,gqpErbFnbiY/00017,9,15,5,0.75
0.9494820833206177,0.6328665614128113,0.12955155968666077,0.037355855107307434,0.8996685743331909,0.8134954571723938,0.6261536478996277,0.5519577264785767,0.2645816206932068,3.068056344985962,3.9534595012664795,61.743559723015295,gqpErbFnbiY/00016,43,10,10,0.5
0.9501615762710571,0.7438405156135559,0.08567723631858826,0.0034979775082319975,0.9115186333656311,0.9510634541511536,0.7081239819526672,0.6909386515617371,0.24347424507141113,2.7785110473632812,1.7676913738250732,87.38140709811046,gdg4mUSwuhI/00002,14,10,10,0.5
0.993779182434082,0.5639477968215942,0.00318144797347486,0.11203160881996155,0.9959381222724915,0.7768962383270264,0.5705971717834473,0.6913430094718933,0.3705631494522095,0.5181660652160645,3.762126922607422,89.53660392731365,gqpErbFnbiY/00002,23,10,10,0.5
0.9721638560295105,0.5418964624404907,0.057528626173734665,0.003910209983587265,0.9475259780883789,0.9996601343154907,0.5338059067726135,0.8782235383987427,0.45271921157836914,1.8763920068740845,0.1318691521883011,198.8121842547937,gqpErbFnbiY/00025,4,10,9,0.526
0.999065101146698,0.6958651542663574,0.0005115601234138012,0.047231387346982956,0.9995495080947876,0.9071313738822937,0.7003105878829956,0.7597063779830933,0.26851367950439453,0.1696605235338211,2.817523956298828,107.38582646748688,gqpErbFnbiY/00015,6,10,10,0.5
0.9189043045043945,0.6325465440750122,0.23792749643325806,0.0018591157859191298,0.8438039422035217,0.9888070225715637,0.6203822493553162,0.7957919836044312,0.3206079602241516,3.596235990524292,0.8101462125778198,101.72134029398475,golS4kh8ETY/00002,8,10,10,0.5
0.8483966588973999,0.8094091415405273,0.2515149712562561,0.05707738921046257,0.740483283996582,0.9219697713851929,0.7444663047790527,0.3996049761772156,0.11782240867614746,4.3162641525268555,2.1612305641174316,37.691281746283764,gqpErbFnbiY/00026,35,10,10,0.5
0.9632774591445923,0.776659369468689,0.06110366806387901,0.00048065639566630125,0.9448297023773193,0.9867615699768066,0.7838156819343567,0.7401754260063171,0.18851518630981445,2.2735848426818848,1.1100598573684692,118.52092786234563,gjCwsdCssdk/00019,30,10,10,0.5
0.9659023284912109,0.7774639129638672,0.04996437579393387,0.10615740716457367,0.9409545063972473,0.9020222425460815,0.7815431952476501,0.5788435935974121,0.160530686378479,1.8472251892089844,2.912644624710083,66.52817008952253,gqpErbFnbiY/00022,10,10,10,0.5
0.8623145222663879,,0.12895144522190094,,0.8081041574478149,,,,,4.355510234832764,,,gqpErbFnbiY/00018,5,10,10,0.5
0.8913297653198242,0.2885613441467285,0.17234672605991364,0.042715270072221756,0.8410776853561401,0.8637588620185852,0.3538912534713745,0.6024567484855652,0.568210631608963,3.5164124965667725,3.2887208461761475,86.0065501304984,gqpErbFnbiY/00007,21,10,9,0.526
0.9606400728225708,0.36383113265037537,0.04688752442598343,0.009098860435187817,0.9564958214759827,0.9842045903205872,0.43373948335647583,0.8339776396751404,0.551910012960434,1.7167659997940063,1.1892673969268799,221.71113122515212,gqpErbFnbiY/00008,71,10,9,0.526
0.9556617736816406,0.6336745023727417,0.12680082023143768,0.040671538561582565,0.9158526659011841,0.872471809387207,0.6391937136650085,0.6771990060806274,0.28805041313171387,2.284693717956543,3.1391732692718506,79.35314146432044,gqpErbFnbiY/00010,28,10,10,0.5
0.9314453601837158,0.716625452041626,0.08718602359294891,0.021862374618649483,0.8946064710617065,0.9662728309631348,0.7417052388191223,0.6310449242591858,0.2072266936302185,3.018223285675049,1.871530532836914,86.8244210111919,gqpErbFnbiY/00008,68,10,9,0.526
0.91911381483078,0.7171703577041626,0.17825040221214294,0.07257451862096786,0.8600118160247803,0.9192520380020142,0.7236282229423523,0.5410981774330139,0.1920405626296997,3.671264410018921,2.8054044246673584,61.641289986079634,gqpErbFnbiY/00016,41,10,10,0.5
