,facenet_prob,marlin_prob,senet_prob,resnet_prob,ridnet_pca_128_face_prob,ridnet_pca_128_prob,ridnet_pca_256_face_prob,ridnet_pca_256_prob
facenet_prob,1.0,0.4417709191200783,0.3141829645179291,0.29329635333578014,0.3469110308346576,0.338536625569632,0.30265237484637025,0.27600498898935116
marlin_prob,0.4417709191200783,1.0,0.4597452560997386,0.48151561043092633,0.46418799515939674,0.4749935031959114,0.3968336111062584,0.38741457106433164
senet_prob,0.3141829645179291,0.4597452560997386,1.0,0.4636872711726291,0.6671251099878156,0.6505329905033962,0.5779186252054066,0.6215569039307326
resnet_prob,0.29329635333578014,0.48151561043092633,0.4636872711726291,1.0,0.49873209131966695,0.5075657369221306,0.43541086328783885,0.4316228277538166
ridnet_pca_128_face_prob,0.3469110308346576,0.46418799515939674,0.6671251099878156,0.49873209131966695,1.0,0.8301050764890403,0.6986793614816806,0.6868076127788945
ridnet_pca_128_prob,0.338536625569632,0.4749935031959114,0.6505329905033962,0.5075657369221306,0.8301050764890403,1.0,0.68178703504278,0.6750266065221466
ridnet_pca_256_face_prob,0.30265237484637025,0.3968336111062584,0.5779186252054066,0.43541086328783885,0.6986793614816806,0.68178703504278,1.0,0.7383514972558183
ridnet_pca_256_prob,0.27600498898935116,0.38741457106433164,0.6215569039307326,0.4316228277538166,0.6868076127788945,0.6750266065221466,0.7383514972558183,1.0
