embedding_A,embedding_B,recall_A,recall_A_or_B,recall_gain,fpr_A,fpr_A_or_B,fp_increase,f1_A,f1_A_or_B,f1_gain,slack_B_picks_up_A,slack_A_picks_up_B
hubert,mfcc,0.8708133971291866,0.8995215311004785,0.028708133971291905,0.06309751434034416,0.2963671128107075,0.23326959847036333,0.8932515337423312,0.7924130663856691,-0.10083846735666213,12,149
hubert,openl3,0.8708133971291866,0.9641148325358851,0.09330143540669855,0.06309751434034416,0.11089866156787764,0.04780114722753348,0.8932515337423312,0.9169510807736063,0.02369954703127508,39,11
hubert,wav2vec2,0.8708133971291866,0.9066985645933014,0.03588516746411485,0.06309751434034416,0.21797323135755253,0.15487571701720837,0.8932515337423312,0.8320526893523601,-0.06119884438997114,15,106
mfcc,openl3,0.5430622009569378,0.9449760765550239,0.4019138755980861,0.24474187380497137,0.2887189292543021,0.043977055449330726,0.5873221216041398,0.8195020746887967,0.2321799530846569,168,3
mfcc,wav2vec2,0.5430622009569378,0.8133971291866029,0.2703349282296651,0.24474187380497137,0.38240917782026773,0.13766730401529637,0.5873221216041398,0.7098121085594989,0.12248998695535918,113,67
openl3,wav2vec2,0.937799043062201,0.9473684210526315,0.009569377990430561,0.06118546845124284,0.21797323135755253,0.1567877629063097,0.9311163895486936,0.853448275862069,-0.07766811368662463,4,123
