hubert_prob,label
0.20626026617435964,0
0.7955055988139678,0
0.39104085300629116,0
0.007816500144235254,0
0.07546128849195807,0
0.23655110250976194,1
0.19484611990200948,0
0.6134247415208468,1
0.19843214024796038,0
0.49031527287387444,1
0.2516272917520359,0
0.2612678612725883,0
0.2774283191806376,1
0.1238033227329565,1
0.41310104894224015,0
0.26671787152470944,1
0.16177941628911724,1
0.03253553294977723,0
0.2118183414187432,0
0.19508125390572895,1
0.22965850608549135,0
0.879036766802463,1
0.2774283191806376,1
0.057032184079512285,0
0.18730203699446912,0
0.030053859198946903,0
0.2120969856419874,0
0.07778969000014879,0
0.15665930490154956,0
0.19410153795922913,0
0.015783633291327898,0
0.26333796488695765,0
0.9135677339945177,1
0.8225053675535257,1
0.16573684180608686,0
0.41772969668013443,0
0.0016426482116167216,0
0.015783633291327898,0
0.039873865427635276,0
0.892961886963767,1
0.8665049957103457,1
0.36030902703452866,0
0.8489584213079956,1
0.8225053675535257,1
0.7813753525773482,1
0.8945059477049383,1
0.033521451282575464,0
0.031156019551918473,0
0.8912592100624899,1
0.882833704367358,1
0.03829426609099632,0
0.043895364883343904,0
0.9509317838591259,1
0.4281566075458641,1
0.8451563209802424,1
0.8503610360616564,1
0.7296500103080545,0
0.9050554837389813,1
0.9618308517617934,1
0.7769348155632692,1
0.6744009500218402,1
0.3231617223520128,0
0.009667407862397864,0
0.5878663465746546,0
0.022766906699262974,0
0.0007695331538166947,0
0.9438625994289248,1
0.7606682724147212,1
0.7990282893397547,1
0.6787323819830253,1
0.9484551851617748,1
0.9041832239689006,1
0.7910996172701459,1
0.7593459862355949,1
0.006987306618568292,0
0.7051924169062993,0
0.005763935440141245,0
0.0007209654953598579,0
0.9443023419960113,1
0.7053213947014445,1
0.7999867593989451,1
0.7169706531254947,1
0.1090425107571936,0
0.07383806274128107,0
0.06861525439058529,0
0.01908321945400376,0
0.04135483200124256,0
0.2141341695458011,0
0.766363365672479,0
0.5801405717483736,0
0.2931356570870771,0
0.3412046239714547,0
0.49031527287387444,0
0.07462852148021507,0
0.7859179626365255,0
0.08300387275393943,0
0.5207301006422426,0
0.3055214730040714,0
0.07087831442436911,0
0.01832214662138766,0
0.4213471344456318,0
0.30193578712727626,0
0.0795673116541768,0
0.3894212835784887,0
0.027964716866472183,0
0.12773265487515953,0
0.026230948057624853,0
0.1005559823677308,0
0.8660203961885675,0
0.8382847450273051,0
0.3065023656870151,0
0.06360291875958621,0
0.18915607229957215,0
0.9950120576682515,1
0.9635475327157303,1
0.9234181194555106,1
0.1807272402095005,0
0.11793999844079216,0
0.0021682062822815647,0
0.9947319362574095,1
0.9293172316432543,1
0.8988399662203274,1
0.1807272402095005,0
0.11793999844079216,0
0.0042907075927020874,0
0.9950120576682515,1
0.9657266900902165,1
0.8826706217800555,1
0.07486296680863698,0
0.08861266859701886,0
0.04622339675948406,0
0.0042907075927020874,0
0.9947969961743142,1
0.9635475327157303,1
0.8918894674444261,1
0.9864582099301626,1
0.9754210354926004,1
0.9023578151903604,1
0.9930967174444493,1
0.9100308310137256,1
0.8856340617676275,1
0.9950120576682515,1
0.967711442738979,1
0.9023578151903604,1
0.12188127143674861,0
0.04251841392605572,0
0.05412944180971691,0
0.9935278912540533,1
0.967711442738979,1
0.8910791616056416,1
0.1681835608247904,0
0.0342390737575359,0
0.0022919711181541096,0
0.9864582099301626,1
0.9655618508291102,1
0.9018169668268713,1
0.9947969961743142,1
0.9657266900902165,1
0.8918894674444261,1
0.3716047757430796,0
0.15170689124279946,0
0.4902831976127913,0
0.025817931774550763,0
0.04341572164789331,0
0.6110879437180805,0
0.03990455811319623,0
0.07651010788483052,0
0.7664076355948808,0
0.28726905542846687,0
0.9069199668341071,1
0.5286061008811237,1
0.282163099024883,0
0.12923914162539632,0
0.8772282424682317,1
0.9884309769303635,1
0.282163099024883,0
0.09686628994583832,0
0.8985105798474626,1
0.3785818131674379,1
0.0012159818609250633,0
0.0044675295161915474,0
0.49256647453213537,0
0.18018071976893837,0
0.3334445115614111,0
0.8598040603795505,1
0.9766819483719,1
0.8882788057079892,1
0.7667984344226624,1
0.2958932639213711,0
0.8772282424682317,1
0.9911302570714129,1
0.8911253289400256,1
