embedding,roc_auc,accuracy,recall,fpr,f1,threshold,confusion_matrix
hubert,0.9579898817093141,0.9075451647183846,0.8708133971291866,0.06309751434034416,0.8932515337423312,0.666047142526218,"TN:490, FP:33, FN:54, TP:364"
mfcc,0.6986492173419817,0.6609989373007439,0.5430622009569378,0.2447418738049713,0.5873221216041398,0.5715296693451013,"TN:395, FP:128, FN:191, TP:227"
openl3,0.9764219125948017,0.9383634431455898,0.937799043062201,0.06118546845124283,0.9311163895486936,0.5054235683400029,"TN:491, FP:32, FN:26, TP:392"
wav2vec2,0.7762311654331379,0.7492029755579172,0.65311004784689,0.1739961759082218,0.6982097186700768,0.5540178153480679,"TN:432, FP:91, FN:145, TP:273"
