mean_cos_sim_real_to_source,mean_cos_sim_fake_to_source,std_cos_sim_real_to_source,std_cos_sim_fake_to_source,intra_real_cohesion,intra_fake_cohesion,inter_group_separation,silhouette_score,centroid_cosine_distance,real_spread,fake_spread,cohens_d,video_id,timestamp_idx,timestamp_seconds
0.960124671459198,0.9731969833374023,0.02552019990980625,0.01016567088663578,0.9687070250511169,0.9748972654342651,0.956096351146698,0.3244948983192444,0.02108865976333618,28.040401458740234,24.014434814453125,92.02081576135723,gZga0AmCGdE/00026,12,1.7999999999999998
0.9432621002197266,0.966296911239624,0.02793104015290737,0.018917134031653404,0.9624795317649841,0.9698671698570251,0.9476903080940247,0.3283643126487732,0.02455461025238037,30.013113021850586,26.18879508972168,91.77246677096105,gZga0AmCGdE/00026,13,1.95
0.9785330891609192,0.9763782024383545,0.013488385826349258,0.006102127023041248,0.9747714400291443,0.9796946048736572,0.9743607044219971,0.17789991199970245,0.006705284118652344,24.549758911132812,22.44165802001953,58.77410259923371,gZga0AmCGdE/00026,14,2.1
0.959434449672699,0.9783173203468323,0.03131597861647606,0.00939774326980114,0.9535701274871826,0.9784120321273804,0.95154869556427,0.2664717435836792,0.019962847232818604,36.93513870239258,26.046579360961914,87.34284334168677,gZga0AmCGdE/00026,15,2.25
0.966841995716095,0.9451155066490173,0.02300308458507061,0.02032456174492836,0.9624890685081482,0.9586032629013062,0.9447934627532959,0.1984899491071701,0.023229777812957764,33.7848014831543,36.294395446777344,80.31936732911485,gZga0AmCGdE/00026,16,2.4
0.962005615234375,0.9319348335266113,0.017005780711770058,0.05356515944004059,0.9578869938850403,0.9090501666069031,0.9351245164871216,0.008787424303591251,0.004277944564819336,35.25727081298828,53.102996826171875,25.019498454840893,gdg4mUSwuhI/00002,12,1.7999999999999998
0.9490434527397156,0.9042094945907593,0.021584708243608475,0.028484461829066277,0.9551607966423035,0.9020596742630005,0.9191498756408691,0.09740917384624481,0.01713162660598755,38.001155853271484,55.222923278808594,48.1129788594346,gdg4mUSwuhI/00002,13,1.95
0.9406319856643677,0.8609809875488281,0.053398892283439636,0.07815045863389969,0.9262388348579407,0.8757808208465576,0.8523780703544617,0.2243722379207611,0.061597585678100586,48.97213363647461,60.76960754394531,76.13757338160022,gdg4mUSwuhI/00002,14,2.1
0.8350699543952942,0.8023629188537598,0.10836175084114075,0.09122976660728455,0.807582437992096,0.8734652996063232,0.8321411609649658,0.06756152957677841,0.02719724178314209,61.655845642089844,54.769996643066406,42.446952109722275,gdg4mUSwuhI/00004,4,0.6
0.8135985136032104,0.8012269735336304,0.1551293432712555,0.1306867152452469,0.7734959125518799,0.8330196142196655,0.8066785335540771,0.016754133626818657,0.018100857734680176,70.00236511230469,58.45164489746094,24.852792262695825,gdg4mUSwuhI/00004,5,0.75
0.9170330762863159,0.9515470266342163,0.11245966702699661,0.04742658883333206,0.8798332214355469,0.9394173622131348,0.9099032878875732,0.025952178984880447,0.010739803314208984,44.186458587646484,29.250152587890625,29.66700220603049,gdg4mUSwuhI/00004,6,0.8999999999999999
0.9829095005989075,0.9817851781845093,0.007674827240407467,0.002049058675765991,0.9838063716888428,0.9737461805343628,0.9790961742401123,0.20887169241905212,0.007612466812133789,21.453636169433594,21.128562927246094,72.90424911004408,ggPh4X7UKwY/00011,2,0.3
0.9651312828063965,0.9284332394599915,0.018500827252864838,0.003481626510620117,0.9720114469528198,0.9527378082275391,0.9405878186225891,0.3670370876789093,0.036418139934539795,28.093984603881836,26.94792938232422,116.25720899846353,ggPh4X7UKwY/00011,3,0.44999999999999996
0.9546765685081482,0.9452062845230103,0.048199400305747986,0.004348874092102051,0.9435173869132996,0.9750851392745972,0.9356389045715332,0.25348663330078125,0.03543967008590698,38.72250747680664,20.545602798461914,102.6746044248742,ggPh4X7UKwY/00011,4,0.6
0.9400632977485657,0.9421889185905457,0.08397956192493439,0.01081627607345581,0.9018548727035522,0.9722433686256409,0.8987908959388733,0.21412858366966248,0.056179165840148926,53.56173324584961,23.10107421875,98.90131901899528,ggPh4X7UKwY/00011,5,0.75
0.9832088947296143,0.9846925735473633,0.00754861906170845,0.004380345344543457,0.9879273772239685,0.9812707901000977,0.9792101979255676,0.27873265743255615,0.011152446269989014,18.96395492553711,18.75023651123047,105.61879212004388,ggPh4X7UKwY/00012,3,0.44999999999999996
