,facenet_prob,marlin_prob,senet_prob
facenet_prob,1.0,0.4417709191200783,0.3141829645179291
marlin_prob,0.4417709191200783,1.0,0.4597452560997386
senet_prob,0.3141829645179291,0.4597452560997386,1.0
