,facenet_prob,marlin_prob,senet_prob,arcface_prob,magface_prob
facenet_prob,1.0,0.4417709191200783,0.3141829645179291,0.5289083177746269,0.09390624204645676
marlin_prob,0.4417709191200783,1.0,0.4597452560997386,0.46608963393715447,0.05245551235208714
senet_prob,0.3141829645179291,0.4597452560997386,1.0,0.36176688840607896,0.07823111201831065
arcface_prob,0.5289083177746269,0.46608963393715447,0.36176688840607896,1.0,0.06316556501224381
magface_prob,0.09390624204645676,0.05245551235208714,0.07823111201831065,0.06316556501224381,1.0
