,hubert_prob,mfcc_prob,openl3_prob,wav2vec2_prob
hubert_prob,1.0,0.35305279317951654,0.8241867251965662,0.5224068839093071
mfcc_prob,0.35305279317951654,1.0,0.38903827489578635,0.17477963734527355
openl3_prob,0.8241867251965662,0.38903827489578635,1.0,0.5204938864405844
wav2vec2_prob,0.5224068839093071,0.17477963734527355,0.5204938864405844,1.0
