mean_cos_sim_real_to_source,mean_cos_sim_fake_to_source,std_cos_sim_real_to_source,std_cos_sim_fake_to_source,intra_real_cohesion,intra_fake_cohesion,inter_group_separation,silhouette_score,centroid_cosine_distance,real_spread,fake_spread,cohens_d,video_id,timestamp_idx,num_fake_expected,num_real_expected,avg_label_expected
0.9988381266593933,0.9936399459838867,0.001388508826494217,0.00033156725112348795,0.9981111288070679,0.999653697013855,0.9938802123069763,0.7340570092201233,0.0052024126052856445,2.458686113357544,1.0777186155319214,103.5923122065448,gqpErbFnbiY/00017,8,15,5,0.75
0.999416708946228,0.9930074214935303,0.000291609758278355,0.0029016337357461452,0.9997081756591797,0.9947949647903442,0.9928755760192871,0.3518046438694,0.004483819007873535,0.983107328414917,5.609274864196777,47.81078242522453,gqpErbFnbiY/00015,13,15,5,0.75
0.9967056512832642,0.9933974146842957,0.001994794001802802,1.3804440641251858e-05,0.9967958927154541,0.9999147653579712,0.9933372735977173,0.6230564117431641,0.005142688751220703,3.7147395610809326,0.48337674140930176,102.89209871938102,gqpErbFnbiY/00015,14,15,5,0.75
0.9993423223495483,0.9919766187667847,0.0005211214884184301,0.0017699693562462926,0.999407172203064,0.9959760308265686,0.9921100735664368,0.5646589398384094,0.005850434303283691,1.3940517902374268,3.8607945442199707,78.75135039199789,gqpErbFnbiY/00017,7,15,5,0.75
0.9947547912597656,,0.00244020763784647,,0.9972853660583496,,,,,3.214463472366333,,,gqpErbFnbiY/00017,9,15,5,0.75
0.9847170114517212,0.993316650390625,0.04405973479151726,0.0009281578822992742,0.9699543714523315,0.9975874423980713,0.9793366193771362,0.451970636844635,0.005409955978393555,12.972579002380371,3.2075533866882324,30.401543593562717,gqpErbFnbiY/00016,43,10,10,0.5
0.9963480830192566,0.9953871965408325,0.008866019546985626,0.0003291711618658155,0.9930857419967651,0.9991855025291443,0.9932309985160828,0.5303900837898254,0.003340482711791992,5.9240803718566895,1.591213345527649,32.27616657373022,gdg4mUSwuhI/00002,14,10,10,0.5
0.9992421269416809,0.9944878816604614,0.0003751465701498091,0.0036555128172039986,0.9996349811553955,0.9954478144645691,0.9946251511573792,0.5283954739570618,0.0031227469444274902,1.15450918674469,4.676236152648926,45.01081727820725,gqpErbFnbiY/00002,23,10,10,0.5
0.9991703033447266,0.9957904815673828,0.000990730244666338,2.7701382350642234e-05,0.9988753199577332,0.999852180480957,0.9953194260597229,0.7746074795722961,0.004116833209991455,2.0333900451660156,0.7623997926712036,154.4939874753619,gqpErbFnbiY/00025,4,10,9,0.526
0.9993933439254761,0.9940021634101868,0.00028623102116398513,0.003985537216067314,0.9996641278266907,0.9943346381187439,0.994159460067749,0.553998589515686,0.0031825900077819824,1.0025267601013184,5.00820779800415,40.81116196516487,gqpErbFnbiY/00015,6,10,10,0.5
0.9985338449478149,0.9968679547309875,0.0034302372951060534,0.00011177476699231192,0.997481644153595,0.9997814893722534,0.996025562286377,0.7095555663108826,0.00274735689163208,2.980740785598755,0.8816881775856018,68.28979919168471,golS4kh8ETY/00002,8,10,10,0.5
0.9847291111946106,0.9951823949813843,0.040527913719415665,0.00047855754382908344,0.9703792929649353,0.9981980919837952,0.9812551140785217,0.28741028904914856,0.0036786794662475586,11.244043350219727,2.4448635578155518,23.24149809099967,gqpErbFnbiY/00026,35,10,10,0.5
0.9991745948791504,0.9966510534286499,0.0011634334223344922,6.928860966581851e-05,0.9989481568336487,0.9998644590377808,0.9965721368789673,0.7230915427207947,0.0028897523880004883,2.110701322555542,0.7364838123321533,113.05813044848652,gjCwsdCssdk/00019,30,10,10,0.5
0.9990051984786987,0.9826228022575378,0.0010885479860007763,0.03874269127845764,0.9986187219619751,0.9720547795295715,0.9821978211402893,0.3711530566215515,0.003943920135498047,2.1589910984039307,11.785004615783691,18.475260328961138,gqpErbFnbiY/00022,10,10,10,0.5
0.9904912114143372,,0.029819495975971222,,0.9831804633140564,,,,,10.019752502441406,,,gqpErbFnbiY/00018,5,10,10,0.5
0.9980198740959167,0.9934590458869934,0.0015608747489750385,0.0003524021594785154,0.9978716373443604,0.9983811378479004,0.9939157366752625,0.5158748030662537,0.004424452781677246,2.96097993850708,2.490649938583374,68.25983113060319,gqpErbFnbiY/00007,21,10,9,0.526
0.9988735914230347,0.9895443916320801,0.0013937262119725347,6.233627937035635e-05,0.9983309507369995,0.9998951554298401,0.9900345802307129,0.8043991327285767,0.009182453155517578,2.2939014434814453,0.6326338648796082,181.75297770365893,gqpErbFnbiY/00008,71,10,9,0.526
0.9992403984069824,0.9811080694198608,0.0016240125987678766,0.04232952743768692,0.9987700581550598,0.9705701470375061,0.980783998966217,0.4610776901245117,0.004542827606201172,2.5356690883636475,13.830880165100098,17.12859309809836,gqpErbFnbiY/00010,28,10,10,0.5
0.99840247631073,0.9892139434814453,0.0021313067991286516,8.166448242263868e-05,0.9974761605262756,0.998976469039917,0.9904929399490356,0.7068862318992615,0.007834911346435547,3.337963104248047,2.244143009185791,98.37375951392936,gqpErbFnbiY/00008,68,10,9,0.526
0.9848527908325195,0.9929141998291016,0.0430346317589283,0.00039464057772420347,0.9703819155693054,0.9979748129844666,0.9792385697364807,0.3803480267524719,0.00559687614440918,13.679367065429688,3.1486239433288574,25.61607501328896,gqpErbFnbiY/00016,41,10,10,0.5
